"slice","group","intensity","slope","fv"
"f1.1","wt",0,0.00881,0.00401
"f1.1","wt",50,0.27161,0.12301
"f1.1","wt",100,0.11727,0.12882
"f1.1","wt",150,0.15019,0.18531
"f1.1","wt",200,0.21035,0.24114
"f1.1","wt",250,0.27902,0.28792
"f1.1","wt",300,0.3418,0.28619
"f1.1","wt",350,0.35618,0.29285
"m1.1","het",0,0.0061,0.00736
"m1.1","het",50,0.01526,0.16008
"m1.1","het",100,0.36316,0.27553
"m1.1","het",150,0.75073,0.38946
"m1.1","het",200,0.79345,0.38727
"m1.1","het",250,0.79953,0.40835
"m1.1","het",300,0.86364,0.45619
"m1.1","het",350,0.83618,0.47252
